time,precip_mm,snow_depth_cm,min_temp
2025-10-06,0.0,,8.1
2025-10-13,4.199999999999999,,3.0
2025-10-20,14.5,,3.6
2025-10-27,1.9,,0.0
2025-11-03,14.5,,-1.1
2025-11-10,12.5,0.5,-4.4
2025-11-17,4.3999999999999995,0.8,-4.0
2025-11-24,0.2,,-3.8
2025-12-01,15.8,0.5,-7.2
2025-12-08,4.6,0.3,-12.7
2025-12-15,10.6,0.5,-13.3
2025-12-22,6.1,0.3,-7.2
2025-12-29,64.60000000000001,1.0,-9.3
2026-01-05,1.2,0.3,-14.1
